Revision No,Sale Order No,Distributor Order No,Distributor Code,Customer Code,Distributor Name,Person Incharge,Status,Price Amount,Currency,Creation Date,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,39091.86,USD,27/01/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,145330.22,USD,26/01/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,9977.04,USD,26/01/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,9284.10,USD,26/01/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,61.12,USD,26/01/2015,
00,,D-SS1501-45,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,8151.63,USD,26/01/2015,
00,,GTHE Special Tools,9961S,REG,KME SERVICE,MALIK,In-Process,23441.62,USD,26/01/2015,
00,,CLM-2015-A003,DS01,REG,KME - DISCREPANCY /SHORTAGE,annaliza,In-Process,9.80,USD,26/01/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,162042.10,USD,25/01/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,0.00,USD,25/01/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,62589.03,USD,25/01/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,4706.17,USD,25/01/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,4243.76,USD,25/01/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,157.20,USD,25/01/2015,
