Revision No,Sale Order No,Distributor Order No,Distributor Code,Customer Code,Distributor Name,Person Incharge,Status,Price Amount,Currency,Creation Date,
00,,111,536C,REG,Galadari Trucks & Heavy Equipment,akulkarni,In-Process,0.00,USD,09/11/2021,
00,,111,536C,REG,Galadari Trucks & Heavy Equipment,akulkarni,In-Process,0.00,USD,09/11/2021,
00,,Test2,5242,REG,M/s. Doverfield Exports (Middle East) F.Z.C.,admin,In-Process,0.00,USD,09/11/2021,
00,,123,522K,REG,Saud Bahwan Projects and Equipment LLC,admin,In-Process,0.00,USD,05/11/2021,
00,,321,522K,REG,Saud Bahwan Projects and Equipment LLC,admin,In-Process,0.53,USD,05/11/2021,
00,,JBL-KME-SO-0610-4769,5241,REG,JAFFER BROTHERS (PVT) LIMITED,sashar,In-Process,1807.38,USD,06/10/2021,
00,,JBL-KME-SO-0610-4768,5241,REG,JAFFER BROTHERS (PVT) LIMITED,sashar,In-Process,260.36,USD,06/10/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,06/10/2021,
00,,M1A2780,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,969.53,USD,06/10/2021,
00,,PO2001001519,555J,ALJABA,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,05/10/2021,
00,,KME07-2021,530F,REG,Ragab Motors Co.,sgebeily,In-Process,0.00,USD,05/10/2021,
00,,M1AXXXX,522K,SBPVIP,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,05/10/2021,
00,,KME/2021465/EMS ,575N,REG,THE NEAR EAST EQUIPMENT COMPANY,TONY,In-Process,219.22,USD,04/10/2021,
00,,KME Scrap (Quality ,DS01,REG,KME - DISCREPANCY /SHORTAGE,ANNALIZA,In-Process,605408.16,USD,28/09/2021,
00,,M1A2770,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,28/09/2021,
00,,MOD-Batch 2,DS01,REG,KME - DISCREPANCY /SHORTAGE,ANNALIZA,In-Process,5158.19,USD,27/09/2021,
00,,168-2021,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,0.00,USD,25/09/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,23/09/2021,
00,,CED/SER/003/21,522K,SBPSRV,Saud Bahwan Projects and Equipment LLC,TONY,In-Process,15407.75,USD,23/09/2021,
00,,KME-SRV-220921,9961S,REG,KME SERVICE,TONY,In-Process,3144.18,USD,22/09/2021,
00,,Scrap (Quality Prob ,DS01,REG,KME - DISCREPANCY /SHORTAGE,ANNALIZA,In-Process,0.00,USD,22/09/2021,
00,,xxx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,21/09/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,21/09/2021,
00,,KME-SRV-200921,9961S,REG,KME SERVICE,TONY,In-Process,4240.91,USD,20/09/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,19/09/2021,
00,,C-2987,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,5023.61,USD,19/09/2021,
00,,M1A2728,522K,SBPVIP,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,15/09/2021,
00,,M1A2722,522K,SBPVIP,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,17869.96,USD,15/09/2021,
00,,158-2021,530L,EMIMOD,Egyptian International Motors Company,rmoustafa,In-Process,65328.10,USD,14/09/2021,
00,,KME Scrap ( Quality ,DS01,REG,KME - DISCREPANCY /SHORTAGE,ANNALIZA ,In-Process,0.00,USD,12/09/2021,
00,,DTDC-12-09-21,9961T,REG,KME TRAINING DEPT,TONY,In-Process,292.85,USD,12/09/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,12/09/2021,
00,,DTDC-21-09-09,9961T,REG,KME TRAINING DEPT,tony,In-Process,0.00,USD,09/09/2021,
00,,PO2201001341,555J,ALJDMM,Abdul Latif Jameel Machinery Trading Co. LTD,agafoor-j,In-Process,0.00,USD,08/09/2021,
00,,M,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,07/09/2021,
00,,KME-SRV-060921,9961S,REG,KME SERVICE,tony,In-Process,11198.30,USD,06/09/2021,
00,,xxx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,05/09/2021,
00,,M1A2694,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,02/09/2021,
00,,XXX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/09/2021,
00,,KME-SRV-010921,9961S,REG,KME SERVICE,TONY,In-Process,11198.30,USD,01/09/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,11228.40,USD,24/08/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,622.63,USD,24/08/2021,
00,,TM-OV-2MQ,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,IRENE,In-Process,77036.46,USD,10/08/2021,
00,,C-1050,536C,GTHESR,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,0.00,USD,10/08/2021,
00,,KME06-2021,530F,REG,Ragab Motors Co.,sgebeily,In-Process,0.00,USD,10/08/2021,
00,,134-2021,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,59.91,USD,10/08/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/08/2021,
00,,xx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/08/2021,
00,,xxx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/08/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/08/2021,
00,,,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,899.59,USD,29/07/2021,
00,,OFFER,575N,REG,THE NEAR EAST EQUIPMENT COMPANY,btaleb,In-Process,0.00,USD,28/07/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,25/07/2021,
00,,C-1702,536C,GTHEAQ,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,515.29,USD,12/07/2021,
00,,xx,522K,SBPVIP,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,11/07/2021,
00,,xx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,11/07/2021,
00,,PO2001000547,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,agafoor-j,In-Process,0.00,USD,08/07/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,4174.26,USD,07/07/2021,
00,,TEST,536C,GTHESR,Galadari Trucks & Heavy Equipment,MALIK,In-Process,0.00,USD,07/07/2021,
00,,PO2001000491,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,151.49,USD,05/07/2021,
00,,,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,0.00,USD,04/07/2021,
00,,,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,874.11,USD,04/07/2021,
00,,XXX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/07/2021,
00,,TEST,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,0.00,USD,01/07/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/07/2021,
00,,REIN-filter kit supp,DS01,REG,KME - DISCREPANCY /SHORTAGE,ANNALIZA,In-Process,18763.13,USD,01/07/2021,
00,,TEST,536C,GTHEGR,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,0.00,USD,01/07/2021,
00,,FY2021 KME Scrap Act,IM01,REG,IMDAAD L.L.C.,ANNALIZA,In-Process,0.00,USD,30/06/2021,
00,,,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,38909.37,USD,29/06/2021,
00,,,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,38909.37,USD,29/06/2021,
00,,PO2001000425,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,agafoor-j,In-Process,25.19,USD,29/06/2021,
00,,xx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,29/06/2021,
00,,JBL-KME-EO-2906-4634,5241,REG,JAFFER BROTHERS (PVT) LIMITED,sashar,In-Process,340.14,USD,29/06/2021,
00,,JBL-KME-SA-2906-4632,5241,REG,JAFFER BROTHERS (PVT) LIMITED,sashar,In-Process,32.16,USD,29/06/2021,
00,,PO2001000415,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,3.35,USD,28/06/2021,
00,,PO2001000413,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,92.76,USD,28/06/2021,
00,,xx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,22/06/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,448.26,USD,21/06/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,20/06/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,20/06/2021,
00,,kitting-061221,9961S,REG,KME SERVICE,maria,In-Process,0.00,USD,12/06/2021,
00,,PO2001000237,555J,ALJRYD,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,09/06/2021,
00,,W-970,536C,REG,Galadari Trucks & Heavy Equipment,akulkarni,In-Process,0.00,USD,07/06/2021,
00,,reserved-2nd,9961S,REG,KME SERVICE,maria,In-Process,0.00,USD,06/06/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,03/06/2021,
00,,PO2201000281,555J,ALJRYD,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,03/06/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,02/06/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/06/2021,
00,,RESERVE QTY,9961S,REG,KME SERVICE,maria,In-Process,0.00,USD,01/06/2021,
00,,XXXX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,30/05/2021,
00,,M1A2418,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,2145.00,USD,27/05/2021,
00,,XXX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,27/05/2021,
00,,PO2201000219,555J,ALJRYD,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,432.57,USD,25/05/2021,
00,,M1A2405,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,24/05/2021,
00,,R00083,536C,REG,Galadari Trucks & Heavy Equipment,ANNALIZA,In-Process,0.00,USD,19/05/2021,
00,,test,536C,REG,Galadari Trucks & Heavy Equipment,MALIK,In-Process,4215.81,USD,18/05/2021,
00,,xxx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,17/05/2021,
00,,W-502,536C,GTHEGR,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,0.00,USD,16/05/2021,
00,,M1A2383,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,10/05/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,2619.84,USD,03/05/2021,
00,,KME/2021149/EMA,575N,REG,THE NEAR EAST EQUIPMENT COMPANY,btaleb,In-Process,15.10,USD,03/05/2021,
00,,KME/2021148/EMA,575N,REG,THE NEAR EAST EQUIPMENT COMPANY,btaleb,In-Process,402.47,USD,03/05/2021,
00,,Proposal for filter ,DS01,REG,KME - DISCREPANCY /SHORTAGE,ANNALIZA,In-Process,0.00,USD,21/04/2021,
00,,,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,21/04/2021,
00,,SUMAN GTHI,536C,REG,Galadari Trucks & Heavy Equipment,MALIK,In-Process,0.00,USD,18/04/2021,
00,,C-54A,536C,GTHESR,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,1367.17,USD,15/04/2021,
00,,,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,9257.12,USD,13/04/2021,
00,,GB/KME/EO-16632,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,0.00,USD,11/04/2021,
00,,GB/KME/DS-16720FC,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,691.95,USD,10/04/2021,
00,,HW ORDER,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,MALIK,In-Process,3457.35,USD,07/04/2021,
00,,PO2001000182,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,06/04/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,05/04/2021,
00,,GB/KME/DS-16666,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,5244.67,USD,05/04/2021,
00,,AA,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,05/04/2021,
00,,1234,532K,REG,Jaidah Motors and Trading Co.,tony,In-Process,0.00,USD,01/04/2021,
00,,,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,25945.00,USD,29/03/2021,
00,,PPO018934/AC,555J,ALJDMM,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,165.89,USD,24/03/2021,
00,,M1A2238,522K,SBPVIP,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,23/03/2021,
00,,M1A2218,522K,SBPVIP,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,15/03/2021,
00,,PPO018851+7,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,2112.75,USD,10/03/2021,
00,,PPO018844,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,10/03/2021,
00,,DSO21038-2,9999,DSO,KOMATSU LIMITED,tony,In-Process,1952.56,USD,10/03/2021,
00,,DSO21038-1,9999,DSO,KOMATSU LIMITED,tony,In-Process,3578.08,USD,10/03/2021,
00,,GB/KME/SO-16246,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,18732.00,USD,04/03/2021,
00,,M1A2182,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,12056.59,USD,03/03/2021,
00,,PPO018795,555J,ALJDMM,Abdul Latif Jameel Machinery Trading Co. LTD,agafoor-j,In-Process,0.00,USD,28/02/2021,
00,,GB/KME/SO-16152,536C,GTHEGR,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,406.50,USD,25/02/2021,
00,,FY2020 KME Scrap Act,DS01,REG,KME - DISCREPANCY /SHORTAGE,ANNALIZA,In-Process,0.00,USD,24/02/2021,
00,,HW ORDER,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,MALIK,In-Process,37010.63,USD,16/02/2021,
00,,xxx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,14/02/2021,
00,,M1A2140,522K,SBPVIP,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,14/02/2021,
00,,M1A2134,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,11/02/2021,
00,,M1A2133,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,11/02/2021,
00,,XXXX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,08/02/2021,
00,,PPO018680,555J,ALJMDN,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,93.86,USD,08/02/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,03/02/2021,
00,,DTDC-21-02-01,9961T,REG,KME TRAINING DEPT,TONY,In-Process,11175.94,USD,01/02/2021,
00,,HW SPRING,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,MALIK,In-Process,1666.56,USD,27/01/2021,
00,,XXXX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,26/01/2021,
00,,HW -ALJ,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,MALIK,In-Process,1549.32,USD,14/01/2021,
00,,GB/KME/DS-15096,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,0.00,USD,12/01/2021,
00,,M1A2046,522K,SBPVIP,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,12/01/2021,
00,,PPO018502+1,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,1.60,USD,07/01/2021,
00,,GB/KME/DS-14989,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,7492.80,USD,04/01/2021,
00,,PPO018425,555J,ALJDMM,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,24/12/2020,
00,,Scrap candidate list,MISC1,REG,MISC (USD),ANNALIZA,In-Process,0.00,USD,17/12/2020,
00,,Scrap candidate list,MISC1,REG,MISC (USD),ANNALIZA,In-Process,0.00,USD,17/12/2020,
00,,Scrap candidate list,MISC1,REG,MISC (USD),ANNALIZA,In-Process,0.00,USD,17/12/2020,
00,,GB/KME/SO-14838,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,217235.20,USD,17/12/2020,
00,,GB/KME/SO-14839FOC,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,18799.20,USD,17/12/2020,
00,,PPO018287,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,saijaz-j,In-Process,867.20,USD,14/12/2020,
00,,RESERVED 3RD GA,9848,REG,PT. Komatsu Marketing and Support Indonesia (KMSI),maria,In-Process,0.00,USD,10/12/2020,
00,,HW-555J-101220,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,TONY,In-Process,1081.36,USD,10/12/2020,
00,,M1A1951,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,09/12/2020,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,06/12/2020,
00,,GB/KME/SO-14717,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,0.00,USD,06/12/2020,
00,,M1A1920,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,1517.60,USD,29/11/2020,
00,,GB/KME/DS-14688A,536C,GTHESR,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,998.52,USD,28/11/2020,
00,,GB/KME/SO-14682,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,2744.02,USD,26/11/2020,
00,,GB/KME/SO-14598A,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,17545.92,USD,18/11/2020,
00,,HW ORDER,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,MALIK,In-Process,23795.58,USD,15/11/2020,
00,,PPO018153,555J,ALJRYD,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,419.24,USD,11/11/2020,
00,,PC400 2.1m3 Hensley ,536C,REG,Galadari Trucks & Heavy Equipment,ANNALIZA,In-Process,0.00,USD,02/11/2020,
00,,HW ORDER,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,MALIK,In-Process,33056.76,USD,28/10/2020,
00,,PPO018057,555J,ALJRYD,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,28/10/2020,
00,,K-128X/46036,533K,REG,Y.K.Almoayyed & Sons B.S.C.,prasanth,In-Process,100.48,USD,26/10/2020,
00,,PPO018034-STK,555J,ALJRYD,Abdul Latif Jameel Machinery Trading Co. LTD,saijaz-j,In-Process,0.00,USD,26/10/2020,
00,,M1A1790,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,1769.80,USD,20/10/2020,
00,,M1A1781,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,19/10/2020,
00,,ALJ-HW-151020,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,TONY,In-Process,4340.92,USD,15/10/2020,
00,,KME (KC65120-079),MISC1,REG,MISC (USD),ANNALIZA,In-Process,89208.50,USD,11/10/2020,
00,,KLTD STOP SALE,MISC1,REG,MISC (USD),MALIK,In-Process,0.00,USD,10/10/2020,
00,,HW ORDER,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,MALIK,In-Process,13795.20,USD,07/10/2020,
00,,K-117X/45752,533K,REG,Y.K.Almoayyed & Sons B.S.C.,george,In-Process,0.00,USD,06/10/2020,
00,,xxx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,05/10/2020,
00,,xxx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,05/10/2020,
00,,HW Quotation,555J,ALJABA,Abdul Latif Jameel Machinery Trading Co. LTD,MALIK,In-Process,698.76,USD,01/10/2020,
00,,PPO017805,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,saijaz-j,In-Process,0.00,USD,29/09/2020,
00,,xxx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,29/09/2020,
00,,XXX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,29/09/2020,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,29/09/2020,
00,,M1A1720,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,27/09/2020,
00,,MOD LIST-RESERVATION,530L,REG,Egyptian International Motors Company,ANNALIZA,In-Process,0.00,USD,09/09/2020,
00,,MOD- BALANCE,530L,REG,Egyptian International Motors Company,MALIK,In-Process,741660.39,USD,09/09/2020,
00,,MOD-GD755-5R,530L,REG,Egyptian International Motors Company,MALIK,In-Process,15069.85,USD,09/09/2020,
00,,MOD-GD675-5,530L,REG,Egyptian International Motors Company,MALIK,In-Process,5708.34,USD,09/09/2020,
00,,MOD-D65EX-16,530L,REG,Egyptian International Motors Company,MALIK,In-Process,17891.20,USD,09/09/2020,
00,,MOD- D275-5R,530L,REG,Egyptian International Motors Company,MALIK,In-Process,42222.00,USD,09/09/2020,
00,,PPO017615,555J,ALJRYD,Abdul Latif Jameel Machinery Trading Co. LTD,saijaz-j,In-Process,0.00,USD,26/08/2020,
00,,JBL-HW-260820,5241,REG,JAFFER BROTHERS (PVT) LIMITED,tony,In-Process,4008.90,USD,26/08/2020,
00,,M1A1584,522K,SBPSBR,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,3782.80,USD,25/08/2020,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,24/08/2020,
00,,164-2020,530L,REG,Egyptian International Motors Company,ynabil,In-Process,822551.78,USD,23/08/2020,
00,,CVC,522K,SBPSBR,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,20/08/2020,
00,,XX,522K,SBPSBR,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,20/08/2020,
00,,M1A1572,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,20/08/2020,
00,,M1A1566,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,420.24,USD,19/08/2020,
00,,M1A1566,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,420.24,USD,19/08/2020,
00,,HW ORDER,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,MALIK,In-Process,1399.91,USD,18/08/2020,
00,,GB/KME/DS-13778A,536C,GTHESR,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,0.00,USD,13/08/2020,
00,,M1A1533,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,11/08/2020,
00,,DSO200809-2,9999,DSO,KOMATSU LIMITED,TONY,In-Process,1590.53,USD,10/08/2020,
00,,DSO200809,9999,DSO,KOMATSU LIMITED,TONY,In-Process,419.27,USD,10/08/2020,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,09/08/2020,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,03/08/2020,
00,,M1A1521,522K,SBPSBR,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,28/07/2020,
00,,K-088X,533K,YKAGOV,Y.K.Almoayyed & Sons B.S.C.,prasanth,In-Process,0.00,USD,28/07/2020,
00,,PPO017423,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,23/07/2020,
00,,GB/KME/SO-13230,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,0.00,USD,21/07/2020,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,21/07/2020,
00,,PPO017347,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,saijaz-j,In-Process,0.00,USD,19/07/2020,
00,,JBL-D-KME-SO-0014,5241,REG,JAFFER BROTHERS (PVT) LIMITED,iafridi,In-Process,0.00,USD,15/07/2020,
00,,M1A1473,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,14/07/2020,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,16059.36,USD,12/07/2020,
00,,21A 773760,9111,REG,Komatsu Europe Int'l,tony,In-Process,0.00,USD,08/07/2020,
00,,M1A1447,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,06/07/2020,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,02/07/2020,
00,,XXX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,02/07/2020,
00,,M1A1443,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,02/07/2020,
00,,M1A1443,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,02/07/2020,
00,,M1A1443,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,02/07/2020,
00,,M1A1443,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,02/07/2020,
00,,PPO,555A,REG,Abdul Latif Jameel Machinery Trading Co. LTD,agafoor-a,In-Process,0.00,USD,02/07/2020,
00,,PPO017251-STK,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,saijaz-j,In-Process,0.00,USD,02/07/2020,
00,,D155A-6 Parts,9961S,REG,KME SERVICE,MALIK,In-Process,5256.16,USD,01/07/2020,
00,,410200024188,9361,REG,KOMATSU AMERICA CORP.,tony,In-Process,0.00,USD,01/07/2020,
00,,JBL-KME-EO-2906-4138,5241,REG,JAFFER BROTHERS (PVT) LIMITED,sashar,In-Process,55.00,USD,29/06/2020,
00,,JBL-KME-EO-2906-4137,5241,REG,JAFFER BROTHERS (PVT) LIMITED,sashar,In-Process,1494.80,USD,29/06/2020,
