Invoice Output Date,Distributor Code,Invoice Number,Distributor Reference Number,Number Of Items,Total Amount,
22/12/2016,536C,32250,,2,33420.80,
21/12/2016,536C,32232,,1,16710.40,
30/12/2015,536C,26398,,2,15168.00,
23/10/2017,536C,36837,,2,115.04,
25/10/2017,536C,36861,,12,2788.47,
09/08/2016,536C,30082,,3,21159.20,
25/10/2017,536C,36884,,1,83.05,
25/04/2015,536C,22525,,5,871.84,
27/04/2015,536C,22578,,20,2362.83,
28/04/2015,536C,22601,,14,347.58,
02/05/2015,536C,22643,,45,9172.57,
02/05/2015,536C,22645,,21,1872.80,
21/10/2015,536C,25304,,25,4699.10,
25/10/2015,536C,25351,,3,44840.00,
22/10/2015,536C,25319,,5,3327.24,
24/10/2015,536C,25321,,8,2676.37,
06/05/2015,555J,22723,KUI DIRECT SHIPMENT INVOICE NO. A23887,1,43020.00,
03/05/2015,536C,22671,,2,18688.00,
03/05/2015,536C,22672,,2,17688.00,
04/05/2015,536C,22688,,20,2586.16,
01/09/2016,536C,30498,,4,2295.76,
18/08/2016,536C,30227,,18,1456.23,
02/06/2016,536C,29056,,9,3893.97,
16/02/2017,536C,33125,,2,12796.50,
19/02/2017,536C,33172,,2,14258.64,
11/07/2016,536C,29587,,4,39264.00,
05/01/2017,536C,32460,,6,1880.71,
17/09/2017,536C,36286,,14,1471.80,
18/09/2017,536C,36323,,4,34000.20,
24/05/2017,536C,34672,,3,23641.10,
28/05/2017,536C,34752,,3,16868.80,
28/05/2017,536C,34756,,2,11966.20,
03/09/2017,536C,36088,,13,3133.76,
04/09/2017,536C,36115,,7,2211.71,
06/09/2017,536C,36136,,3,16187.04,
18/11/2015,536C,25747,,4,5495.55,
19/11/2015,536C,25757,,1,23440.00,
21/11/2015,536C,25770,,7,893.78,
29/06/2017,536C,35182,,16,896.15,
29/06/2017,536C,35183,,14,517.98,
01/09/2015,536C,24555,,10,1116.49,
05/09/2015,536C,24603,,4,427.15,
01/09/2015,536C,24542,,4,719.49,
16/11/2015,536C,25702,,12,357.70,
16/11/2015,536C,25703,,3,19968.00,
26/11/2017,536C,37332,,9,2127.48,
27/09/2017,536C,36437,,9,447.23,
25/12/2017,536C,37768,,19,28544.90,
19/09/2018,536C,41547,,3,35678.32,
20/09/2018,536C,41576,,3,3673.86,
16/07/2016,536C,29649,,10,570.85,
03/04/2019,536C,46395,,20,2308.90,
07/11/2018,522K-MKT,42398,,2,55200.00,
07/11/2018,536C,42415,,14,2823.31,
15/01/2018,536C,37965,,12,1141.16,
19/01/2017,536C,32689,,4,932.92,
19/01/2017,536C,32707,,8,642.99,
24/04/2019,536C,47048,,3,34692.80,
05/12/2018,536C,42919,,17,8196.22,
29/12/2019,536C,52477,,2,20800.00,
07/10/2019,536C,50557,,1,32600.00,
07/10/2019,536C,50558,,1,32600.00,
28/01/2019,536C,44104,,3,38581.28,
06/02/2019,536C,44302,,2,13788.00,
07/02/2019,536C,44339,,4,28425.88,
12/01/2020,555J,52711,,1,51088.00,
25/07/2021,536C,59917,,5,37099.70,
29/07/2021,536C,59968,,2,14006.70,
08/01/2019,536K,43640,,1,16544.40,
